City,LATITUTE,LONGTITUE,ADCODE,Const Coefficient,Year Coefficient,P-Value,R-Squared
TUOTUOHE,34.217,92.433,630000,-137.0635571751357,0.06681924516539836,2.6421395349225364e-09,0.5827206038120342
TURPAN,42.933,89.2,650000,-123.88552411509254,0.06970473934448694,1.2122343002751109e-12,0.7118916979134471
ULIASTAI,45.517,116.967,150000,-99.91310085995357,0.05103536533178337,8.05364477485332e-07,0.4515697058037448
WEIFANG,36.767,119.183,370000,-91.63711026107946,0.052358319093567605,3.2474175539825293e-09,0.5785687800477182
WU LU MU QI,43.8,87.65,650000,-94.90513076341361,0.05124473449796123,2.2327873492100323e-07,0.48404259227336155
WUDU,33.4,104.917,620000,-69.80930280830944,0.04246171434641165,8.156877708645072e-10,0.6056276557962639
WUHAN,30.6,114.05,420000,-70.75893312521666,0.044006838345911965,2.1191682655887137e-07,0.48532505560220096
WUZHOU,23.483,111.3,450000,-37.61713777928453,0.029500492567686512,6.412217922586312e-07,0.4574770695704691
XI UJIMQIN QI,44.583,117.6,150000,-65.14328370880317,0.03364581713604975,0.00022513077555737964,0.2852894714291542
XIAMEN,24.483,118.083,350000,-104.99303408476786,0.06303148187469675,3.1052213534225046e-14,0.7587010762252697
XIAN,34.3,108.933,610000,-35.89045011701057,0.02497851866163929,0.008756927904327803,0.1560230742669192
XICHANG,27.9,102.267,510000,-52.97703279860818,0.035177879367543574,4.298032110968656e-08,0.5230639736194631
XIGAZE,29.25,88.883,540000,-63.474570968115515,0.03542653025836241,3.192920551900599e-09,0.5789109355220475
XILIN HOT,43.95,116.117,150000,-80.0590137913641,0.0416360131259649,4.4257854669001844e-05,0.3374325838098974
XINGREN,25.433,105.183,520000,-48.47851381124751,0.032071113122161335,2.037115151039891e-06,0.4268856365308086
XINING,36.617,101.767,630000,-9.309493561136065,0.007771526469634964,0.24652063051831652,0.032611134352370286
XINYANG,32.133,114.05,410000,-79.15329979562858,0.047481272177502115,1.014986126032507e-10,0.6432607745736096
XUZHOU,34.283,117.15,320000,-81.64202099134106,0.04836819724007736,1.6154794912659845e-12,0.7078653205561724
YAN AN,36.6,109.5,610000,-46.960065524745666,0.028657452555294293,0.00030241212477213425,0.27546428595191097
YANCHI,37.8,107.383,640000,-65.90144082713701,0.03735093113414008,2.9065131466570547e-05,0.3503566842375687
YANGJIANG,21.867,111.967,440000,-18.78561813201148,0.020782064143610876,0.0015456606797276881,0.21917869966869197
YANJI,42.867,129.5,220000,-60.366016145464194,0.033106313808102236,2.0048020845778245e-06,0.4273196348784951
YIBIN,28.8,104.6,510000,-30.725299956531842,0.024429780447714766,0.0003417265715796071,0.27136258976489014
YICHANG,30.7,111.3,420000,-10.537500797586873,0.013803278435134424,0.02486131872845719,0.11684901796398306
YINCHUAN,38.467,106.2,640000,-118.28747355042373,0.06407142446171663,3.1106044805813695e-14,0.7586808354222982
YINGKOU,40.667,122.2,210000,-49.64318145148063,0.02979732664074526,2.5262247625026854e-05,0.354616247886712
YINING,43.95,81.333,650000,-89.07619000218057,0.049436873113429064,1.5815844250855582e-07,0.49245381897603735
YONGAN,25.967,117.35,350000,-58.49754042259846,0.039201327263389034,2.7617215676697582e-12,0.7001976968317073
YOUYANG,28.833,108.767,500000,10.839847974077287,0.0020624154532059152,0.7425886312654115,0.0026595670896811807
YULIN,38.233,109.7,450000,-106.81082989612898,0.057918533259804186,2.3123691853297849e-10,0.6288317047042796
YUNCHENG,35.05,111.05,140000,-50.99632585769059,0.03269857998701545,1.8189672430269095e-05,0.3644951471629495
YUSHU,33.0,96.967,630000,-50.45475225415223,0.027098476294794005,0.0004599276606287238,0.261314306038834
ZHANGWU,42.417,122.533,210000,-61.07683174659585,0.03457036729567981,5.900000826331593e-06,0.39732322619033145
ZHENGZHOU,34.717,113.65,410000,-108.30994751827402,0.06167800926611362,6.337292204738204e-17,0.8213025390071096
ZHIJIANG,27.45,109.683,420000,-46.23959751322245,0.03156476181588307,3.873180710490177e-09,0.5749900965219015
